run,type,module,name,attrname,attrvalue,value
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:981:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:981:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:980:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:980:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:979:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:979:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:978:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:978:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:977:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:977:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:976:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:976:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:975:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:975:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:974:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:974:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:973:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:973:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:972:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:972:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:971:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:971:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:970:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:970:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:969:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:969:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:968:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:968:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:967:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:967:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:966:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:966:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:965:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:965:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:964:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:964:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:963:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:963:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:962:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:962:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:961:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:961:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:960:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:960:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:959:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:959:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:958:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:958:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:957:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:957:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:956:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:956:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:955:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:955:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:954:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:954:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:953:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:953:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:952:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:952:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:951:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:951:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:950:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:950:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:949:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:949:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:948:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:948:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:947:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:947:mean,title,Conditional queuing time template of class queuingTimeInterval,
