run,type,module,name,attrname,attrvalue,value
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:982:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:981:mean,,,0.30463470238168
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:981:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:980:mean,,,0.31384721363127
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:980:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:979:mean,,,0.3032212756432
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:979:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:978:mean,,,0.30742621080986
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:978:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:977:mean,,,0.29964310958723
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:977:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:976:mean,,,0.30054023737083
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:976:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:975:mean,,,0.29730277251841
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:975:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:974:mean,,,0.31073531631985
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:974:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:973:mean,,,0.3018517373937
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:973:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:972:mean,,,0.28254220297483
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:972:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:971:mean,,,0.31500751351242
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:971:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:970:mean,,,0.28967599129502
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:970:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:969:mean,,,0.29029812275283
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:969:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:968:mean,,,0.295871641287
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:968:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:967:mean,,,0.28234590200952
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:967:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:966:mean,,,0.2884857840515
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:966:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:965:mean,,,0.28775855793076
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:965:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:964:mean,,,0.28947043906094
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:964:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:963:mean,,,0.30036821141808
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:963:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:962:mean,,,0.27852265555363
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:962:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:961:mean,,,0.28026205867426
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:961:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:960:mean,,,0.28779196739312
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:960:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:959:mean,,,0.29818947606213
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:959:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:958:mean,,,0.28359886322416
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:958:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:957:mean,,,0.2829526700968
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:957:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:956:mean,,,0.2834400642111
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:956:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:955:mean,,,0.28407959353916
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:955:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:954:mean,,,0.27789416460709
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:954:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:953:mean,,,0.29881466949439
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:953:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:952:mean,,,0.26777197824237
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:952:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:951:mean,,,0.27777271171728
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:951:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:950:mean,,,0.27380805162894
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:950:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:949:mean,,,0.27929970262226
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:949:mean,title,Conditional queuing time template of class queuingTimeInterval,
