run,type,module,name,attrname,attrvalue,value
Net1-0-20211222-14:56:34-1673,runattr,,,configname,Net1,
Net1-0-20211222-14:56:34-1673,runattr,,,datetime,20211222-14:56:34,
Net1-0-20211222-14:56:34-1673,runattr,,,experiment,Net1,
Net1-0-20211222-14:56:34-1673,runattr,,,inifile,omnetpp.ini,
Net1-0-20211222-14:56:34-1673,runattr,,,iterationvars,,
Net1-0-20211222-14:56:34-1673,runattr,,,iterationvarsf,,
Net1-0-20211222-14:56:34-1673,runattr,,,measurement,,
Net1-0-20211222-14:56:34-1673,runattr,,,network,Net,
Net1-0-20211222-14:56:34-1673,runattr,,,processid,1673,
Net1-0-20211222-14:56:34-1673,runattr,,,repetition,0,
Net1-0-20211222-14:56:34-1673,runattr,,,replication,#0,
Net1-0-20211222-14:56:34-1673,runattr,,,resultdir,results,
Net1-0-20211222-14:56:34-1673,runattr,,,runnumber,0,
Net1-0-20211222-14:56:34-1673,runattr,,,seedset,0,
Net1-0-20211222-14:56:34-1673,param,,,**.source1.avgInterArrivalTime,0.8s,
Net1-0-20211222-14:56:34-1673,param,,,**.mg1.L,0.5s,
Net1-0-20211222-14:56:34-1673,param,,,**.mg1.nbIntervals,1000,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.10463457878176
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.10112739008571
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.11530345251962
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.098446804999876
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:995:mean,,,0.12168820562581
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:994:mean,,,0.11936885578163
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:993:mean,,,0.12825177903235
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:992:mean,,,0.097272050960598
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:991:mean,,,0.11121582163681
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:991:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:990:mean,,,0.094198601387474
Net1-0-20211222-14:56:34-1673,attr,Net.mg1,queuingTimeInterval:990:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211222-14:56:34-1673,scalar,Net.mg1,queuingTimeInterval:989:mean,,,0.10557377476509
