run,type,module,name,attrname,attrvalue,value
Net1-0-20220109-20:53:34-1458,runattr,,,configname,Net1,
Net1-0-20220109-20:53:34-1458,runattr,,,datetime,20220109-20:53:34,
Net1-0-20220109-20:53:34-1458,runattr,,,experiment,Net1,
Net1-0-20220109-20:53:34-1458,runattr,,,inifile,omnetpp.ini,
Net1-0-20220109-20:53:34-1458,runattr,,,iterationvars,,
Net1-0-20220109-20:53:34-1458,runattr,,,iterationvarsf,,
Net1-0-20220109-20:53:34-1458,runattr,,,measurement,,
Net1-0-20220109-20:53:34-1458,runattr,,,network,Net,
Net1-0-20220109-20:53:34-1458,runattr,,,processid,1458,
Net1-0-20220109-20:53:34-1458,runattr,,,repetition,0,
Net1-0-20220109-20:53:34-1458,runattr,,,replication,#0,
Net1-0-20220109-20:53:34-1458,runattr,,,resultdir,results,
Net1-0-20220109-20:53:34-1458,runattr,,,runnumber,0,
Net1-0-20220109-20:53:34-1458,runattr,,,seedset,0,
Net1-0-20220109-20:53:34-1458,param,,,**.source1.avgInterArrivalTime,0.8s,
Net1-0-20220109-20:53:34-1458,param,,,**.mg1.L,0.5s,
Net1-0-20220109-20:53:34-1458,param,,,**.mg1.nbIntervals,1000,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.10887885129891
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.11869027143845
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.1196479256545
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.10328553354491
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:995:mean,,,0.10416351114514
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:994:mean,,,0.11475161355149
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:993:mean,,,0.10781430019456
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:992:mean,,,0.1076414833202
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:53:34-1458,scalar,Net.mg1,queuingTimeInterval:991:mean,,,0.11062559251481
Net1-0-20220109-20:53:34-1458,attr,Net.mg1,queuingTimeInterval:991:mean,title,Conditional queuing time template of class queuingTimeInterval,
