run,type,module,name,attrname,attrvalue,value
Net2-0-20220109-21:00:45-2059,runattr,,,configname,Net2,
Net2-0-20220109-21:00:45-2059,runattr,,,datetime,20220109-21:00:45,
Net2-0-20220109-21:00:45-2059,runattr,,,experiment,Net2,
Net2-0-20220109-21:00:45-2059,runattr,,,inifile,omnetpp.ini,
Net2-0-20220109-21:00:45-2059,runattr,,,iterationvars,,
Net2-0-20220109-21:00:45-2059,runattr,,,iterationvarsf,,
Net2-0-20220109-21:00:45-2059,runattr,,,measurement,,
Net2-0-20220109-21:00:45-2059,runattr,,,network,Net,
Net2-0-20220109-21:00:45-2059,runattr,,,processid,2059,
Net2-0-20220109-21:00:45-2059,runattr,,,repetition,0,
Net2-0-20220109-21:00:45-2059,runattr,,,replication,#0,
Net2-0-20220109-21:00:45-2059,runattr,,,resultdir,results,
Net2-0-20220109-21:00:45-2059,runattr,,,runnumber,0,
Net2-0-20220109-21:00:45-2059,runattr,,,seedset,0,
Net2-0-20220109-21:00:45-2059,param,,,**.source1.avgInterArrivalTime,0.5s,
Net2-0-20220109-21:00:45-2059,param,,,**.mg1.L,0.5s,
Net2-0-20220109-21:00:45-2059,param,,,**.mg1.nbIntervals,1000,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.16893523228628
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.171662533752
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.16570843023109
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.15900397761471
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:995:mean,,,0.16661340804418
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:994:mean,,,0.1695695513438
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:993:mean,,,0.17118574199967
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:00:45-2059,scalar,Net.mg1,queuingTimeInterval:992:mean,,,0.16640644693858
Net2-0-20220109-21:00:45-2059,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
